product_a_id,product_b_id,score,decision,name_a,name_b,brand_a,brand_b,retailer_a,retailer_b,price_a,price_b,dimension_a,dimension_b,explanation
374,1836,0.84,no_merge,Corretivo Líquido Matte PAYOT Alta Cobertura - 2-4g,Corretivo Líquido Matte PAYOT Alta Cobertura - 2.5-4g,payot,payot,amazon_br,amazon_br,2052,2052,4g,4g,brand_match:payot; title_high:1.00; size_ambiguous; pack_match:2; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
379,4630,0.84,no_merge,Ruby Rose - Gel Incolor Cílios + Sobrancelhas Game HB509,"Gel Incolor Game On – Para Cílios e Sobrancelhas | Nutrição, Definição e Crescimento Natural",ruby rose,lyrics,amazon_br,amazon_br,993,1998,,,title_medium:0.82; identifier_match:ean; color_match:rose; penalty:conflicting_strong_brand; penalty:clearly_incompatible_size; penalty:clearly_incompatible_variant; penalty:clearly_incompatible_variant
400,2098,0.84,no_merge,Payot Corretivo Payot Serum Retinol 10,Payot Corretivo Payot Serum Retinol 30,payot,payot,amazon_br,amazon_br,2898,4290,,,brand_match:payot; title_high:0.97; size_match:5g; pack_match:5; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
400,2125,0.84,no_merge,Payot Corretivo Payot Serum Retinol 10,Payot Corretivo Payot Serum Retinol 20,payot,payot,amazon_br,amazon_br,2898,4390,,,brand_match:payot; title_high:0.97; size_match:5g; pack_match:5; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
2098,2125,0.84,no_merge,Payot Corretivo Payot Serum Retinol 30,Payot Corretivo Payot Serum Retinol 20,payot,payot,amazon_br,amazon_br,4290,4390,,,brand_match:payot; title_high:0.97; size_match:5g; pack_match:5; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
437,2118,0.84,no_merge,"KIKO MILANO, New Long Lasting Eyeshadow Stick, Sombra em Bastão, Cor","KIKO MILANO, New Long Lasting Eyeshadow Stick, Sombra em Bastão, Cor",kiko milano,kiko milano,amazon_br,amazon_br,6990,6798,,,brand_match:kiko milano; title_high:1.00; size_match:10g; pack_match:13; category_exact; price_close; penalty:conflicting_model
459,2688,0.84,no_merge,"Bt Skin Base Líquida M60, Bruna Tavares","Bt Skin Base Líquida M10, Bruna Tavares",bruna tavares,bruna tavares,amazon_br,amazon_br,6569,6990,,,brand_match:bruna tavares; title_high:0.97; size_match:78g; pack_match:10; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
459,3247,0.84,no_merge,"Bt Skin Base Líquida M60, Bruna Tavares","Bt Skin Base Líquida M40, Bruna Tavares",bruna tavares,bruna tavares,amazon_br,amazon_br,6569,7990,,,brand_match:bruna tavares; title_high:0.97; size_ambiguous; pack_match:10; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
459,3600,0.84,no_merge,"Bt Skin Base Líquida M60, Bruna Tavares","Bt Skin Base Líquida L60, Bruna Tavares",bruna tavares,bruna tavares,amazon_br,amazon_br,6569,6990,,,brand_match:bruna tavares; title_high:0.97; size_match:78g; pack_match:10; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2609,3056,0.84,no_merge,"Bt Skin Base Líquida L50, Bruna Tavares","Bt Skin Base Líquida L30, Bruna Tavares",bruna tavares,bruna tavares,amazon_br,amazon_br,6990,,,,brand_match:bruna tavares; title_high:0.97; size_match:78g; pack_match:10; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
2609,3600,0.84,no_merge,"Bt Skin Base Líquida L50, Bruna Tavares","Bt Skin Base Líquida L60, Bruna Tavares",bruna tavares,bruna tavares,amazon_br,amazon_br,6990,6990,,,brand_match:bruna tavares; title_high:0.97; size_match:78g; pack_match:10; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2688,3247,0.84,no_merge,"Bt Skin Base Líquida M10, Bruna Tavares","Bt Skin Base Líquida M40, Bruna Tavares",bruna tavares,bruna tavares,amazon_br,amazon_br,6990,7990,,,brand_match:bruna tavares; title_high:0.97; size_ambiguous; pack_match:10; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
3056,3600,0.84,no_merge,"Bt Skin Base Líquida L30, Bruna Tavares","Bt Skin Base Líquida L60, Bruna Tavares",bruna tavares,bruna tavares,amazon_br,amazon_br,,6990,,,brand_match:bruna tavares; title_high:0.97; size_match:78g; pack_match:10; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
459,2299,0.84,no_merge,"Bt Skin Base Líquida M60, Bruna Tavares",Bruna Tavares Bt Skin Base Líquida M20,bruna tavares,bruna tavares,amazon_br,amazon_br,6569,6990,,,brand_match:bruna tavares; title_high:0.97; size_ambiguous; pack_match:10; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2299,2688,0.84,no_merge,Bruna Tavares Bt Skin Base Líquida M20,"Bt Skin Base Líquida M10, Bruna Tavares",bruna tavares,bruna tavares,amazon_br,amazon_br,6990,6990,,,brand_match:bruna tavares; title_high:0.97; size_ambiguous; pack_match:10; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2299,3247,0.84,no_merge,Bruna Tavares Bt Skin Base Líquida M20,"Bt Skin Base Líquida M40, Bruna Tavares",bruna tavares,bruna tavares,amazon_br,amazon_br,6990,7990,,,brand_match:bruna tavares; title_high:0.97; size_ambiguous; pack_match:10; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2488,2609,0.84,no_merge,Bruna Tavares Bt Skin Base Líquida L40,"Bt Skin Base Líquida L50, Bruna Tavares",bruna tavares,bruna tavares,amazon_br,amazon_br,7600,6990,,,brand_match:bruna tavares; title_high:0.97; size_match:78g; pack_match:10; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2488,3056,0.84,no_merge,Bruna Tavares Bt Skin Base Líquida L40,"Bt Skin Base Líquida L30, Bruna Tavares",bruna tavares,bruna tavares,amazon_br,amazon_br,7600,,,,brand_match:bruna tavares; title_high:0.97; size_match:78g; pack_match:10; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
