product_a_id,product_b_id,score,decision,name_a,name_b,brand_a,brand_b,retailer_a,retailer_b,price_a,price_b,dimension_a,dimension_b,explanation
3746,4535,0.84,no_merge,BT LIPSHAPE WARM BROWN,BT LIPSHAPE WARM BROWN,bruna tavares,bruna tavares,amazon_br,amazon_br,4900,5590,,,brand_match:bruna tavares; title_high:1.00; size_match:20g; color_match:marrom; shade_match:marrom; pack_missing_one_side; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
4088,4439,0.84,no_merge,Lapiseira Para Sobrancelhas Hello Brow nº 03 - VZ-53 - Vizzela,Lapiseira Para Sobrancelhas Hello Brow nº 01 - VZ-53 - Vizzela,vizzela,vizzela,amazon_br,amazon_br,4990,4990,,,brand_match:vizzela; title_high:0.98; size_match:24g; shade_match:marron; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
3442,3715,0.8349,no_merge,"Maquiagem Infantil Kit para Meninas, Paleta de Sombras, Pincel de Maquiagem, Gloss Labial mais acessórios, Necessarie Maquiagem, Presente para crianças, Kit Beleza, Presente Para Crianças CN1","Maquiagem Infantil, Kit, Paleta de Sombras, Pincel de maquiagem, Necessarie, Gloss Labial e Acessórios Maquiagem Para Crianças e Jovens, Presente para Meninas CN2",k11 photo design,k11 photo design,amazon_br,amazon_br,6998,7998,,,brand_match:k11 photo design; title_high:0.95; model_match:4x5; size_match:190g; pack_match:14; category_exact; price_close
3266,3395,0.8254,no_merge,"Maquiagem Kit Completo para Meninas, Jovens e Adultos, com Necessarie Feminina, Paleta de Sombras, Pincel de Maquiagem, Gloss Labial e mais Itens, Presente para Mulheres, Adolescentes, Kit Beleza, Maquiagem Infantil Juvenil Make Up CN4","Kit de Maquiagem para Meninas, Jovens, Adultos. Necessarie Feminina, Paleta de Sombras, Pincel de Maquiagem, Esponja, Gloss Labial e mais itens, Maquiagem Infantil, Juvenil, Presente Adolescente, Presente Todas as Idades CN3",k11 photo design,k11 photo design,amazon_br,amazon_br,8999,8999,,,brand_match:k11 photo design; title_medium:0.88; model_match:23cm; size_match:190g; color_match:preta; pack_match:14; category_exact; price_close
3720,3914,0.8213,no_merge,Base Time Wise 3D Beige N200,Base Time Wise 3D Beige C120,mary kay,mary kay,amazon_br,amazon_br,7284,7500,,,brand_match:mary kay; title_high:0.93; model_match:3d; size_match:40g; pack_match:2; category_exact; price_close
3253,3323,0.8205,no_merge,Base Time Wise 3D Ivory W150,Base Time Wise 3D Ivory C110,mary kay,mary kay,amazon_br,amazon_br,7284,7500,,,brand_match:mary kay; title_high:0.93; model_match:3d; size_match:40g; pack_match:2; category_exact; price_close
2833,3804,0.8187,no_merge,Base liquida matte Timewise® 3D Mary kay - 30ml (Beige N150),Base liquida matte Timewise® 3D Mary kay - 30ml (Beige N210),mary kay,mary kay,amazon_br,amazon_br,7500,7990,30ml,30ml,brand_match:mary kay; title_high:0.98; model_match:3d; size_ambiguous; shade_match:bege; pack_missing_one_side; category_exact; price_close
2833,3908,0.818,no_merge,Base liquida matte Timewise® 3D Mary kay - 30ml (Beige N150),Base liquida matte Timewise® 3D Mary kay - 30ml (Beige N210),mary kay,mary kay,amazon_br,amazon_br,7500,7090,30ml,30ml,brand_match:mary kay; title_high:0.98; model_match:3d; size_ambiguous; shade_match:bege; pack_missing_one_side; category_exact; price_close
2701,3914,0.8156,no_merge,Base Time Wise 3D Beige W160,Base Time Wise 3D Beige C120,mary kay,mary kay,amazon_br,amazon_br,7400,7500,,,brand_match:mary kay; title_high:0.93; model_match:3d; size_ambiguous; shade_match:bege; pack_match:2; category_exact; price_close
3253,3861,0.8106,no_merge,Base Time Wise 3D Ivory W150,Base Time Wise 3D Ivory W130,mary kay,mary kay,amazon_br,amazon_br,7284,7500,,,brand_match:mary kay; title_high:0.96; model_match:3d; size_match:40g; pack_missing_one_side; category_exact; price_close
931,944,0.806,no_merge,Escova Secadora Alisadora Revlon Root Booster (127),Escova Secadora Alisadora Revlon Root Booster (220),revlon,revlon,amazon_br,amazon_br,30663,36740,,,brand_match:revlon; title_high:0.96; model_match:rvdr5292; color_match:preto; shade_match:preto; pack_match:4; category_exact; penalty:clearly_incompatible_size
3159,3192,0.8012,no_merge,BT PLUSH NUTS 3X1 BTO BLUSH E SOMBRA,BT PLUSH WOOD 3X1 BTO BLUSH E SOMBRA,bruna tavares,bruna tavares,amazon_br,amazon_br,7308,7308,,,brand_match:bruna tavares; title_high:0.93; model_match:3x1; size_match:28g; color_match:marrom; shade_match:marrom; pack_match:2; category_exact; price_close; penalty:conflicting_global_identifier
1427,1577,0.8008,no_merge,"Kit de Manicure e Pedicure, 100 Mini Lixas de Unha, 100 Palitos para Unha, Descartáveis (Lixa rosa)","Kit 100 Mini Lixas de Unha para Manicure e Pedicure, 8cm, Descartáveis, Lado Áspero e Fino (Parda)",pura arte,pura arte,amazon_br,amazon_br,2190,1490,,,brand_match:pura arte; title_medium:0.88; model_match:8cm; size_missing_one_side; color_match:rosa; shade_match:amarelo; pack_match:8; category_exact
2638,3720,0.8008,no_merge,Base Time Wise 3D Beige W180,Base Time Wise 3D Beige N200,mary kay,mary kay,amazon_br,amazon_br,7000,7284,,,brand_match:mary kay; title_high:0.90; model_match:3d; size_match:40g; pack_missing_one_side; category_exact; price_close
2638,3914,0.8007,no_merge,Base Time Wise 3D Beige W180,Base Time Wise 3D Beige C120,mary kay,mary kay,amazon_br,amazon_br,7000,7500,,,brand_match:mary kay; title_high:0.93; model_match:3d; size_match:40g; pack_missing_one_side; category_exact; price_close
1436,1577,0.7987,no_merge,"Kit de Manicure e Pedicure, 100 Mini Lixas de Unha, 100 Palitos para Unha, Descartáveis (Lixa parda)","Kit 100 Mini Lixas de Unha para Manicure e Pedicure, 8cm, Descartáveis, Lado Áspero e Fino (Parda)",pura arte,pura arte,amazon_br,amazon_br,2190,1490,,,brand_match:pura arte; title_high:0.92; model_match:8cm; size_missing_one_side; shade_match:amarelo; pack_match:8; category_exact
1833,2089,0.7973,no_merge,Maybelline NY Máscara de Cílios The Falsies Surreal Efeito 3D Lavável,Maybelline NY Máscara de Cílios The Falsies Surreal Efeito 3D A prova D'Água,maybelline,maybelline,amazon_br,amazon_br,5715,7301,,,"brand_match:maybelline; title_high:0.94; model_match:10x,3d; size_match:35g; color_match:preto; shade_match:preto; pack_match:29; category_exact; penalty:conflicting_global_identifier"
3253,3720,0.7957,no_merge,Base Time Wise 3D Ivory W150,Base Time Wise 3D Beige N200,mary kay,mary kay,amazon_br,amazon_br,7284,7284,,,brand_match:mary kay; title_medium:0.76; model_match:3d; size_match:40g; pack_match:2; category_exact; price_close
2701,3720,0.7941,no_merge,Base Time Wise 3D Beige W160,Base Time Wise 3D Beige N200,mary kay,mary kay,amazon_br,amazon_br,7400,7284,,,brand_match:mary kay; title_high:0.90; model_match:3d; size_ambiguous; pack_match:2; category_exact; price_close
897,1976,0.7938,no_merge,Secador de Cabelos Britânia BSC2150 2100W Preto e fumê Bivolt,Secador de Cabelos Britânia Bivolt 2100W BSC2250 Bivolt,britânia,britânia,amazon_br,amazon_br,11896,11349,,,brand_match:britania; title_high:0.91; model_match:2100w; size_match:700g; color_match:preto; shade_match:preto; pack_match:5; category_exact; price_close; penalty:conflicting_global_identifier
1359,1795,0.793,no_merge,Corpo Dourado Banho de Lua - Kit Prático Pelos Dourados Camomila (6 Itens),Corpo Dourado Banho de Lua - Kit Prático Pelos Dourados Tradicional (6 Itens),corpo dourado,corpo dourado,amazon_br,amazon_br,2999,3299,,,"brand_match:corpo dourado; title_high:0.93; model_match:1o,2o,3o; size_ambiguous; color_match:branca; pack_match:6; category_exact; price_close; penalty:conflicting_global_identifier"
1001,1008,0.793,no_merge,MONDIAL Escova Secadora Mondial Golden Rose 1200W Bivolt - Es-Ju-01,"Escova Secadora, Mondial, Golden Rose, 1200W, Bivolt - ES-02-BI",mondial,mondial,amazon_br,amazon_br,16799,11305,,,"brand_match:mondial; title_high:0.95; model_match:1200w,127v,220v; size_match:550g; color_match:rose; shade_match:golden; pack_match:5; category_exact; penalty:conflicting_global_identifier"
1216,1298,0.7923,no_merge,Karsten Toalha De Rosto Hera - Branco 48 x 80 Q,Karsten Toalha De Rosto Magna - Branco 48 x 80 Q,karsten,karsten,amazon_br,amazon_br,3418,3300,,,"brand_match:karsten; title_high:0.94; model_match:150oc,48cm,60oc; size_ambiguous; color_match:branco; shade_match:branco; pack_match:48; category_exact; price_close; penalty:conflicting_global_identifier"
172,3323,0.7922,no_merge,Base Time Wise 3D Ivory N160,Base Time Wise 3D Ivory C110,mary kay,mary kay,amazon_br,amazon_br,6984,7500,,,brand_match:mary kay; title_high:0.93; model_match:3d; size_match:40g; shade_match:ivory; category_exact; price_close; penalty:clearly_incompatible_variant
928,933,0.7916,no_merge,Shark FlexStyle Secador de cabelo e modelador 127v para cabelos lisos e ondulados,Shark FlexStyle Secador de cabelo e modelador 127v para cabelos crespos e cacheados,shark,shark,amazon_br,amazon_br,190300,190300,,,brand_match:shark; title_medium:0.89; model_match:127v; size_match:700g; color_match:rose; shade_match:rose; pack_match:5; category_exact; price_close; penalty:conflicting_global_identifier
2524,2638,0.7915,no_merge,Base Time Wise 3D Beige N150,Base Time Wise 3D Beige W180,mary kay,mary kay,amazon_br,amazon_br,7400,7000,,,brand_match:mary kay; title_high:0.93; model_match:3d; size_ambiguous; pack_missing_one_side; category_exact; price_close
369,410,0.7895,no_merge,"KIKO MILANO, 3D Hydra Lipgloss, Gloss Hidratante Para Os Lábios, Com Efeito 3D, Fórmula Com Extrato de Bidens","KIKO MILANO, 3D Hydra Lipgloss, Gloss Hidratante Para Os Lábios, Com Efeito 3D, Fórmula Com Extrato de Bidens",kiko milano,kiko milano,amazon_br,amazon_br,8991,8091,,,brand_match:kiko milano; title_high:1.00; model_match:3d; color_match:rose; pack_match:7; category_exact; price_close; penalty:clearly_incompatible_size; penalty:clearly_incompatible_variant
1677,1740,0.7895,no_merge,Toalha de banho soft especial Karinho c/capuz est. 80cm x 80cm - 01 un,Toalha de banho soft especial Karinho c/capuz est. 80cm x 80cm - 01 un,papi desde 1974,papi desde 1974,amazon_br,amazon_br,2698,2698,,,"brand_match:papi desde 1974; title_high:1.00; model_match:40x28,80cm; size_missing_both; shade_match:estampado; category_exact; price_close; penalty:conflicting_global_identifier"
2638,2701,0.7891,no_merge,Base Time Wise 3D Beige W180,Base Time Wise 3D Beige W160,mary kay,mary kay,amazon_br,amazon_br,7000,7400,,,brand_match:mary kay; title_high:0.96; model_match:3d; size_ambiguous; pack_missing_one_side; category_exact; price_close
1216,1223,0.7887,no_merge,Karsten Toalha De Rosto Hera - Branco 48 x 80 Q,Karsten Toalha De Rosto Lumina - Branco Com Cinza 48 x 80 Q,karsten,karsten,amazon_br,amazon_br,3418,3990,,,"brand_match:karsten; title_high:0.94; model_match:150oc,60oc,80c; size_ambiguous; color_match:branco; shade_match:branco; pack_match:48; category_exact; price_close; penalty:conflicting_global_identifier"
3005,3312,0.7884,no_merge,Magic Color Gloss Matizador 3D Morena Iluminada Avelã – Efeito Loiro Natural Dourado,Magic Color Gloss Matizador 3D Morena Iluminada Mel – Efeito Loiro Claro Dourado,magic color,Magic Color,amazon_br,amazon_br,4990,4571,,,brand_match:magic color; title_high:0.93; model_match:3d; size_missing_one_side; pack_missing_one_side; category_exact; price_close
3312,3676,0.7884,no_merge,Magic Color Gloss Matizador 3D Morena Iluminada Mel – Efeito Loiro Claro Dourado,Magic Color Gloss Matizador 3D Morena Iluminada Doce De Leite – Efeito Loiro Médio Dourado,Magic Color,magic color,amazon_br,amazon_br,4571,4654,,,brand_match:magic color; title_high:0.93; model_match:3d; size_missing_one_side; pack_missing_one_side; category_exact; price_close
2638,3861,0.7881,no_merge,Base Time Wise 3D Beige W180,Base Time Wise 3D Ivory W130,mary kay,mary kay,amazon_br,amazon_br,7000,7500,,,brand_match:mary kay; title_medium:0.82; model_match:3d; size_match:40g; category_exact; price_close
3253,3914,0.7866,no_merge,Base Time Wise 3D Ivory W150,Base Time Wise 3D Beige C120,mary kay,mary kay,amazon_br,amazon_br,7284,7500,,,brand_match:mary kay; title_medium:0.79; model_match:3d; size_match:40g; pack_match:2; category_exact; price_close
3707,4237,0.7837,no_merge,MELU - GLOSS LABIAL GINGA BALANÇO MADE IN RRL6405-6,MELU - GLOSS LABIAL GINGA BOROGODÓ MADE IN RRL6405-4,melu,melu,amazon_br,amazon_br,2190,3594,,,brand_match:melu; title_medium:0.89; model_match:rrl6405; size_match:20g; color_match:rose; shade_match:bege; pack_match:4; category_exact; penalty:conflicting_global_identifier
2638,3253,0.7818,no_merge,Base Time Wise 3D Beige W180,Base Time Wise 3D Ivory W150,mary kay,mary kay,amazon_br,amazon_br,7000,7284,,,brand_match:mary kay; title_medium:0.82; model_match:3d; size_match:40g; pack_missing_one_side; category_exact; price_close
3065,3834,0.7807,no_merge,Base liquida matte Timewise® 3D Mary kay - 30ml (Beige W160),Base liquida matte Timewise® 3D Mary kay - 30ml (Beige C110),mary kay,mary kay,amazon_br,amazon_br,7990,7500,30ml,30ml,brand_match:mary kay; title_high:0.96; model_match:3d; size_ambiguous; pack_match:3; category_exact; price_close; penalty:conflicting_global_identifier
2982,3639,0.7806,no_merge,Eudora Soul Turbo 7.0 Ultra Resistente Máscara Cílios 10g,Eudora SOUL Turbo Máscara de Cílios 10g,eudora,eudora,amazon_br,amazon_br,,5490,10g,10g,brand_match:eudora; title_high:0.96; model_match:15x; size_ambiguous; pack_missing_one_side; category_exact
1223,1298,0.7804,no_merge,Karsten Toalha De Rosto Lumina - Branco Com Cinza 48 x 80 Q,Karsten Toalha De Rosto Magna - Branco 48 x 80 Q,karsten,karsten,amazon_br,amazon_br,3990,3300,,,"brand_match:karsten; title_high:0.93; model_match:150oc,60oc,80c; size_ambiguous; color_match:branco; shade_match:branco; pack_match:48; category_exact; penalty:conflicting_global_identifier"
2946,3312,0.7804,no_merge,Magic Color Gloss Matizador 3D Morena Iluminada Amêndoa – Efeito Marrom Dourado,Magic Color Gloss Matizador 3D Morena Iluminada Mel – Efeito Loiro Claro Dourado,magic color,Magic Color,amazon_br,amazon_br,4600,4571,,,brand_match:magic color; title_medium:0.89; model_match:3d; size_missing_one_side; pack_missing_one_side; category_exact; price_close
2712,3106,0.7801,no_merge,Bruna Tavares Bt Velvet/2X1 Primer/Sombra Líquida Black!,Bruna Tavares Bt Velvet/2X1 Primer/Sombra Líquida Brown!,bruna tavares,bruna tavares,amazon_br,amazon_br,5990,5990,,,brand_match:bruna tavares; title_high:0.94; model_match:2x1; size_ambiguous; shade_match:forma; pack_match:5; category_exact; price_close; penalty:conflicting_global_identifier
930,984,0.7799,no_merge,Escova Secadora Britânia Soft 4 em 1 1300W BEC07R Bivolt,Escova Secadora Britânia Bivolt 1300W 4 em 1 Infrared BES36 Viih Tube,britânia,britânia,amazon_br,amazon_br,8990,11900,,,brand_match:britania; title_medium:0.88; model_match:1300w; size_match:550g; color_match:rosa; shade_match:rosa; pack_match:11; category_exact; penalty:conflicting_global_identifier
3323,3720,0.7797,no_merge,Base Time Wise 3D Ivory C110,Base Time Wise 3D Beige N200,mary kay,mary kay,amazon_br,amazon_br,7500,7284,,,brand_match:mary kay; title_medium:0.76; model_match:3d; size_match:40g; pack_match:2; category_exact; price_close
3106,4084,0.7793,no_merge,Bruna Tavares Bt Velvet/2X1 Primer/Sombra Líquida Brown!,Bruna Tavares Bt Velvet/2X1 Primer/Sombra Líquida Violet!,bruna tavares,bruna tavares,amazon_br,amazon_br,5990,,,,brand_match:bruna tavares; title_high:0.94; model_match:2x1; size_ambiguous; shade_match:forma; pack_match:5; category_exact; penalty:conflicting_global_identifier
2556,3926,0.7786,no_merge,MELU - CORRETIVO LÍQUIDO COISA MAIS LINDA MADE IN 15 RRM602-2,MELU - CORRETIVO LÍQUIDO COISA MAIS LINDA MADE IN 25 RRM602-3,melu,melu,amazon_br,amazon_br,2599,2600,,,brand_match:melu; title_high:0.97; model_match:rrm602; size_match:20g; color_match:rose; shade_match:bege; category_exact; price_close; penalty:conflicting_global_identifier; penalty:clearly_incompatible_variant
2556,3872,0.7785,no_merge,MELU - CORRETIVO LÍQUIDO COISA MAIS LINDA MADE IN 15 RRM602-2,MELU - CORRETIVO LÍQUIDO COISA MAIS LINDA MADE IN 5 RRM602-1,melu,melu,amazon_br,amazon_br,2599,2547,,,brand_match:melu; title_high:0.97; model_match:rrm602; size_match:20g; color_match:rose; shade_match:bege; category_exact; price_close; penalty:conflicting_global_identifier; penalty:clearly_incompatible_variant
3106,4204,0.7783,no_merge,Bruna Tavares Bt Velvet/2X1 Primer/Sombra Líquida Brown!,Bruna Tavares Bt Velvet/2X1 Primer/Sombra Líquida Cherry!,bruna tavares,bruna tavares,amazon_br,amazon_br,5990,5990,,,brand_match:bruna tavares; title_high:0.94; model_match:2x1; size_ambiguous; pack_match:5; category_exact; price_close; penalty:conflicting_global_identifier
2712,4084,0.7777,no_merge,Bruna Tavares Bt Velvet/2X1 Primer/Sombra Líquida Black!,Bruna Tavares Bt Velvet/2X1 Primer/Sombra Líquida Violet!,bruna tavares,bruna tavares,amazon_br,amazon_br,5990,,,,brand_match:bruna tavares; title_high:0.94; model_match:2x1; size_match:49g; shade_match:forma; pack_match:5; category_exact; penalty:conflicting_global_identifier
3872,3926,0.7758,no_merge,MELU - CORRETIVO LÍQUIDO COISA MAIS LINDA MADE IN 5 RRM602-1,MELU - CORRETIVO LÍQUIDO COISA MAIS LINDA MADE IN 25 RRM602-3,melu,melu,amazon_br,amazon_br,2547,2600,,,brand_match:melu; title_high:0.96; model_match:rrm602; size_match:20g; color_match:rose; shade_match:bege; category_exact; price_close; penalty:conflicting_global_identifier; penalty:clearly_incompatible_variant
1769,1774,0.7758,no_merge,Papi Textil Toalha De Banho Soft Papi Friends C/Capuz Bord. 90Cm X 75Cm Contem 01 Un,Papi Textil Toalha De Banho Soft Papi Friends C/Capuz Bord. 90Cm X 75Cm Contem 01 Un,papi desde 1974,papi desde 1974,amazon_br,amazon_br,6128,6450,,,"brand_match:papi desde 1974; title_high:1.00; model_match:75cm,90cm; color_match:branco; shade_match:branco; category_exact; price_close; penalty:conflicting_global_identifier; penalty:clearly_incompatible_size"
2712,4204,0.7756,no_merge,Bruna Tavares Bt Velvet/2X1 Primer/Sombra Líquida Black!,Bruna Tavares Bt Velvet/2X1 Primer/Sombra Líquida Cherry!,bruna tavares,bruna tavares,amazon_br,amazon_br,5990,5990,,,brand_match:bruna tavares; title_high:0.94; model_match:2x1; size_match:49g; pack_match:5; category_exact; price_close; penalty:conflicting_global_identifier
1748,1769,0.7755,no_merge,Papi Textil Toalha De Banho Soft Papi Friends C/Capuz Bord. 90Cm X 75Cm Contem 01 Un,Papi Textil Toalha De Banho Soft Papi Friends C/Capuz Bord. 90Cm X 75Cm Contem 01 Un,papi desde 1974,papi desde 1974,amazon_br,amazon_br,6176,6128,,,"brand_match:papi desde 1974; title_high:1.00; model_match:75cm,90cm; color_match:branco; shade_match:branco; category_exact; price_close; penalty:conflicting_global_identifier; penalty:clearly_incompatible_size"
172,3253,0.7754,no_merge,Base Time Wise 3D Ivory N160,Base Time Wise 3D Ivory W150,mary kay,mary kay,amazon_br,amazon_br,6984,7284,,,brand_match:mary kay; title_high:0.93; model_match:3d; size_match:40g; category_exact; price_close; penalty:clearly_incompatible_variant
2701,3080,0.7749,no_merge,Base Time Wise 3D Beige W160,BASE TIME WISE 3D MARY KAY (bege n190),mary kay,mary kay,amazon_br,amazon_br,7400,7500,,,brand_match:mary kay; title_medium:0.78; model_match:3d; size_ambiguous; pack_match:2; category_exact; price_close
2833,3065,0.7744,no_merge,Base liquida matte Timewise® 3D Mary kay - 30ml (Beige N150),Base liquida matte Timewise® 3D Mary kay - 30ml (Beige W160),mary kay,mary kay,amazon_br,amazon_br,7500,7990,30ml,30ml,brand_match:mary kay; title_high:0.96; model_match:3d; size_ambiguous; category_exact; price_close; penalty:clearly_incompatible_variant
2701,3253,0.7743,no_merge,Base Time Wise 3D Beige W160,Base Time Wise 3D Ivory W150,mary kay,mary kay,amazon_br,amazon_br,7400,7284,,,brand_match:mary kay; title_medium:0.82; model_match:3d; size_ambiguous; pack_match:2; category_exact; price_close
3834,4199,0.7743,no_merge,Base liquida matte Timewise® 3D Mary kay - 30ml (Beige C110),Base liquida matte Timewise® 3D Mary kay - 30ml (Beige W100),mary kay,mary kay,amazon_br,amazon_br,7500,7500,30ml,30ml,brand_match:mary kay; title_high:0.96; model_match:3d; size_ambiguous; pack_match:3; category_exact; price_close; penalty:conflicting_global_identifier
2833,4199,0.7743,no_merge,Base liquida matte Timewise® 3D Mary kay - 30ml (Beige N150),Base liquida matte Timewise® 3D Mary kay - 30ml (Beige W100),mary kay,mary kay,amazon_br,amazon_br,7500,7500,30ml,30ml,brand_match:mary kay; title_high:0.96; model_match:3d; size_ambiguous; category_exact; price_close; penalty:clearly_incompatible_variant
3323,3861,0.7739,no_merge,Base Time Wise 3D Ivory C110,Base Time Wise 3D Ivory W130,mary kay,mary kay,amazon_br,amazon_br,7500,7500,,,brand_match:mary kay; title_high:0.93; model_match:3d; size_match:40g; pack_missing_one_side; category_exact; price_close; penalty:clearly_incompatible_variant
1697,1747,0.7733,no_merge,Jogo de toalhas Buddemeyer Doris Banho Cinza Claro/Cinza 5 peças,Jogo de toalhas Buddemeyer Doris Banho Verde/Verde Claro 5 peças,"buddemeyer, buddemeyer","buddemeyer, buddemeyer",amazon_br,amazon_br,16929,16929,,,brand_match:buddemeyer buddemeyer; title_high:0.95; model_match:132c; size_match:68000ml; scent_match:coco; pack_match:5; category_exact; price_close; penalty:conflicting_global_identifier; penalty:clearly_incompatible_variant
3457,3773,0.7731,no_merge,RUBY ROSE - Soft Blend Base Liquida F80 HBM301-8,RUBY ROSE - Soft Blend Base Liquida F70 HBM301-7,ruby rose,ruby rose,amazon_br,amazon_br,1998,2016,,,brand_match:ruby rose; title_high:0.96; model_match:hbm301; size_match:30g; color_match:rose; pack_match:9; category_exact; price_close; penalty:conflicting_global_identifier; penalty:clearly_incompatible_variant
1001,1012,0.7724,no_merge,MONDIAL Escova Secadora Mondial Golden Rose 1200W Bivolt - Es-Ju-01,"Escova Secadora InfraRed, Mondial, Azul/Golden Rose, 1200W, Bivolt - ES-01-IR",mondial,mondial,amazon_br,amazon_br,16799,15990,,,"brand_match:mondial; title_high:0.97; model_match:1200w,127v,220v; size_match:550g; color_match:rose; pack_match:5; category_exact; price_close; penalty:conflicting_global_identifier; penalty:clearly_incompatible_variant"
4035,4199,0.7722,no_merge,Base liquida matte Timewise® 3D Mary kay - 30ml (Bronze W120),Base liquida matte Timewise® 3D Mary kay - 30ml (Beige W100),mary kay,mary kay,amazon_br,amazon_br,7500,7500,30ml,30ml,brand_match:mary kay; title_high:0.92; model_match:3d; size_ambiguous; pack_match:3; category_exact; price_close; penalty:conflicting_global_identifier
1212,1257,0.772,no_merge,TOALHA VELOUR POR COR ROSTO 45X80CM MARINHO R7854,TOALHA VELOUR POR COR ROSTO 45X80CM BEGE R0643,camesa,camesa,amazon_br,amazon_br,2750,2650,,,brand_match:camesa; title_medium:0.86; model_match:33c; size_ambiguous; shade_match:rosto; category_exact; price_close; penalty:conflicting_global_identifier
261,354,0.7711,no_merge,"Kit Tatamento de Melasma: Sabonete Tranexâmico, Ácido Mandélico & Hyalo Lacto Z15","Kit Sabonete Tranexâmico, Mandel Arbuty, Glyco Niacinamida - Tratamento de Melasma, Rugas e Oleosidade Facial Z18",zaniah dermocosméticos,zaniah dermocosméticos,amazon_br,amazon_br,18900,17900,,,"brand_match:zaniah dermocosmeticos; model_match:1o,2o,3o; size_ambiguous; pack_match:19; category_exact; price_close"
1013,1044,0.771,no_merge,Escova Secadora Alisadora Revlon Volumizer Plus 220v,Revlon - Escova Secadora Revlon Volumizer Plus Celebrate 127v,revlon,revlon,amazon_br,amazon_br,37240,34698,,,brand_match:revlon; title_medium:0.85; model_match:rvdr5298; size_match:750g; pack_match:2; category_exact; price_close; penalty:clearly_incompatible_variant
4084,4204,0.7709,no_merge,Bruna Tavares Bt Velvet/2X1 Primer/Sombra Líquida Violet!,Bruna Tavares Bt Velvet/2X1 Primer/Sombra Líquida Cherry!,bruna tavares,bruna tavares,amazon_br,amazon_br,,5990,,,brand_match:bruna tavares; title_high:0.93; model_match:2x1; size_match:49g; pack_match:5; category_exact; penalty:conflicting_global_identifier
172,3861,0.7708,no_merge,Base Time Wise 3D Ivory N160,Base Time Wise 3D Ivory W130,mary kay,mary kay,amazon_br,amazon_br,6984,7500,,,brand_match:mary kay; title_high:0.93; model_match:3d; size_match:40g; pack_missing_one_side; category_exact; price_close; penalty:clearly_incompatible_variant
942,952,0.7706,no_merge,"GOKOCO Escova Secador de Cabelo Profissional 5 em 1 - Kit Modelador com Bocal, Difusor, Escova Secadora, 2 Modelador de Cachos, íons Negativos Alta Velocidade Para Secar, Alisar e Enrolar, GD031 127v Rosa","GOKOCO Escova Secador de Cabelo Profissional 5 em 1 - Kit Modelador com Bocal, Difusor, Escova Secadora, 2 Modelador de Cachos, íons Negativos Alta Velocidade Para Secar, Alisar e Enrolar, GD031 127v Branco",gokoco,gokoco,amazon_br,amazon_br,44999,44999,,,"brand_match:gokoco; title_high:0.99; model_match:127v,gd031; size_missing_both; pack_match:25; category_exact; price_close; penalty:clearly_incompatible_variant; penalty:clearly_incompatible_variant"
3065,4035,0.77,no_merge,Base liquida matte Timewise® 3D Mary kay - 30ml (Beige W160),Base liquida matte Timewise® 3D Mary kay - 30ml (Bronze W120),mary kay,mary kay,amazon_br,amazon_br,7990,7500,30ml,30ml,brand_match:mary kay; title_high:0.92; model_match:3d; size_ambiguous; pack_match:3; category_exact; price_close; penalty:conflicting_global_identifier
2458,3595,0.7699,no_merge,Catharine Hill - Base Alta Cobertura Angel Wings by Pri Lessa - Cor - A2,Catharine Hill - Base Alta Cobertura Angel Wings by Pri Lessa - Cor - A3.5,catharine hill,catharine hill,amazon_br,amazon_br,7890,7101,,,brand_match:catharine hill; title_high:0.98; model_match:2022a; size_match:67g; pack_match:3; category_exact; price_close; penalty:conflicting_global_identifier; penalty:clearly_incompatible_variant
3518,3831,0.7696,no_merge,Base liquida matte Timewise® 3D Mary kay - 30ml (Beige W180),Base liquida matte Timewise® 3D Mary kay - 30ml (Bronze W100),mary kay,mary kay,amazon_br,amazon_br,7484,6390,30ml,30ml,brand_match:mary kay; title_high:0.92; model_match:3d; size_ambiguous; pack_match:2; category_exact; price_close; penalty:conflicting_global_identifier
3080,3720,0.7694,no_merge,BASE TIME WISE 3D MARY KAY (bege n190),Base Time Wise 3D Beige N200,mary kay,mary kay,amazon_br,amazon_br,7500,7284,,,brand_match:mary kay; title_medium:0.78; model_match:3d; size_ambiguous; pack_match:2; category_exact; price_close
2982,3010,0.7693,no_merge,Eudora Soul Turbo 7.0 Ultra Resistente Máscara Cílios 10g,Eudora Soul Turbo 7.0 Máscara para Cílios 10g,eudora,eudora,amazon_br,amazon_br,,,10g,10g,"brand_match:eudora; title_high:0.94; model_match:15x,2x; size_ambiguous; pack_missing_one_side; category_exact"
1007,1049,0.7691,no_merge,Escova Secadora Britânia Soft 4 em 1 1300W Bivolt BES13VD Bivolt,Escova Secadora Britânia BES12V Soft 1300w Bivolt,britânia,britânia,amazon_br,amazon_br,16100,15646,,,brand_match:britania; title_high:0.92; model_match:1300w; size_match:680g; pack_match:5; price_close; penalty:clearly_incompatible_variant
