source_id,dedupe_id,retailer,name_raw,brand_raw,price_cents,sku,dimension,canonical_name,canonical_brand,cluster_confidence,decision,explanation
1574,prod_0dd8e2fe2969,amazon_br,50 Protetores Bacia Pedicure + 50 Protetores Bacia Manicure,arte sedução,3490,B0BLZKCC72,,50 Protetores Bacia Pedicure + 50 Protetores Bacia Manicure,arte sedução,1.0,singleton,
66971,prod_e4bb6f40f898,mercadolivre,Blush Baked Marble Bloom Silk Skin - Ruby Rose,Ruby Rose,3490,,,Blush Baked Marble Bloom Silk Skin - Ruby Rose,Ruby Rose,1.0,singleton,
1569,prod_4e3bd263528b,amazon_br,"Mini lâmpada de unha de LED UV, luz recarregável Cabine Estufa portátil Gel secador Manicure Pedicure",monoc,4350,B0BG9BD53H,,"Mini lâmpada de unha de LED UV, luz recarregável Cabine Estufa portátil Gel secador Manicure Pedicure",monoc,1.0,singleton,
1570,prod_8eac9d03673a,amazon_br,"ForPro Professional Collection Bloco de polimento super branco, grão 180/240, protetor de unhas de manicure e pedicure, 9,5 cm C x 2,5 cm L x 2,5 cm A, 20 unidades",tng worldwide,7156,B01NCUX7Y5,,"ForPro Professional Collection Bloco de polimento super branco, grão 180/240, protetor de unhas de manicure e pedicure, 9,5 cm C x 2,5 cm L x 2,5 cm A, 20 unidades",tng worldwide,1.0,singleton,
1571,prod_d2fce7d4fae7,amazon_br,10 lixas de unha dupla face - placa de esmeril de grão 100/180 (preto) para manicure e pedicure,generic,1461,B0FR971P4K,,10 lixas de unha dupla face - placa de esmeril de grão 100/180 (preto) para manicure e pedicure,generic,1.0,singleton,
1572,prod_823b29ffd8db,amazon_br,"Suporte de garrafa de esmalte vestível - Suporte de esmalte de unha de silicone para manicure e pedicure, rosa",generic,1770,B0DPYRG4HM,,"Suporte de garrafa de esmalte vestível - Suporte de esmalte de unha de silicone para manicure e pedicure, rosa",generic,1.0,singleton,
2772,prod_4aadb443b1d8,amazon_br,"Primer Facial Ruby Rose Soft Skin Hidratação, Maciez Textura Leve, Efeito Suave e Pele Pronta Para Maquiagem",ruby rose,2999,B0FKRLRTJW,,"Primer Facial Ruby Rose Soft Skin Hidratação, Maciez Textura Leve, Efeito Suave e Pele Pronta Para Maquiagem",ruby rose,1.0,singleton,
1576,prod_00d77b942e97,amazon_br,Carimbo De Unha Em Acrílico Para Fazer Francesinha com 2 Taptes Silicone Para Pedicure Manicure com 2 Tapetes Com Desenhos Diferentes (Transparente),syang,3490,B09RWYYQT3,,Carimbo De Unha Em Acrílico Para Fazer Francesinha com 2 Taptes Silicone Para Pedicure Manicure com 2 Tapetes Com Desenhos Diferentes (Transparente),syang,1.0,singleton,
1577,prod_58cb004c78ad,amazon_br,"Kit 100 Mini Lixas de Unha para Manicure e Pedicure, 8cm, Descartáveis, Lado Áspero e Fino (Parda)",pura arte,1490,B0D7GXR1N9,,"Kit 100 Mini Lixas de Unha para Manicure e Pedicure, 8cm, Descartáveis, Lado Áspero e Fino (Parda)",pura arte,1.0,singleton,
1578,prod_925d1b50cf96,amazon_br,"Pacote com 10 cortadores de unhas e kit de remoção de cera de ouvido, kit profissional de cuidados com as unhas com estojo de couro, ferramentas de manicure e pedicure de aço inoxidável, rosa",generic,1925,B0FH6JSPQD,,"Pacote com 10 cortadores de unhas e kit de remoção de cera de ouvido, kit profissional de cuidados com as unhas com estojo de couro, ferramentas de manicure e pedicure de aço inoxidável, rosa",generic,1.0,singleton,
1579,prod_23d202fb561c,amazon_br,Lixa Lixadeira Elétrica para Unha Manicure Pedicure Profissional e Cuidado Doméstico Lixadeira de unhas Elétrica Portátil Motor Bivolt 110v - 220v Cores Aleatórias,genérico,3999,B0FKNCMPB8,,Lixa Lixadeira Elétrica para Unha Manicure Pedicure Profissional e Cuidado Doméstico Lixadeira de unhas Elétrica Portátil Motor Bivolt 110v - 220v Cores Aleatórias,genérico,1.0,singleton,
1599,prod_568138fb951d,amazon_br,Kit 8 Instrumentos Inox Manicure Pedicure Sobrancelha Estojo,arte sedução,3690,B0DMG693T4,,Kit 8 Instrumentos Inox Manicure Pedicure Sobrancelha Estojo,arte sedução,1.0,singleton,
1580,prod_50058be44bcb,amazon_br,Kit Manicure Cabine Led UV 48w + Motor Lixadeira Eletrica Caneta Unhas Gel Unha Pedicure,genérico,6998,B0FQQHJTNG,,Kit Manicure Cabine Led UV 48w + Motor Lixadeira Eletrica Caneta Unhas Gel Unha Pedicure,genérico,1.0,singleton,
1581,prod_2e6f7cec1014,amazon_br,Kiboule 18 peças conjunto de manicure com estojo profissional conjunto de pedicure cortador de unhas de aço inoxidável kit de cuidados com as unhas para homens mulheres pais idosos viagem cuidados com as unhas,kiboule,11900,B09TW6KQ98,,Kiboule 18 peças conjunto de manicure com estojo profissional conjunto de pedicure cortador de unhas de aço inoxidável kit de cuidados com as unhas para homens mulheres pais idosos viagem cuidados com as unhas,kiboule,1.0,singleton,
1582,prod_6b3d34f8fc27,amazon_br,"Lixa de unha 12 peças profissional dupla face 100/180, placa de esmeril preto, ferramenta de manicure e pedicure para unhas de acrílico natural, limas reutilizáveis",generic,2310,B0FR74912T,,"Lixa de unha 12 peças profissional dupla face 100/180, placa de esmeril preto, ferramenta de manicure e pedicure para unhas de acrílico natural, limas reutilizáveis",generic,1.0,singleton,
1583,prod_8dc863f4a133,amazon_br,60 Lixa Refil Pedra Pomes Lixador Pedicuro Esfoliador Pés,chic & fun,3499,B0CB2V41W9,,60 Lixa Refil Pedra Pomes Lixador Pedicuro Esfoliador Pés,chic & fun,1.0,singleton,
1584,prod_289569842298,amazon_br,Kit 5 Alicates de Cortar Unha Profissional Manicure Pedicure Cortador de Cuticula em Aço Inox(1 UNIDADE),genérico,3199,B0FXWWG4M5,,Kit 5 Alicates de Cortar Unha Profissional Manicure Pedicure Cortador de Cuticula em Aço Inox(1 UNIDADE),genérico,1.0,singleton,
1586,prod_a20f01a742a1,amazon_br,"Conjunto de cortador de unhas de aço inoxidável para mulheres e homens, ferramentas de cuidados pessoais com estojo portátil de viagem, ferramentas de manicure e pedicure para mulheres e homens, kit",walentin profwr,24561,B0C85JLP8P,,"Conjunto de cortador de unhas de aço inoxidável para mulheres e homens, ferramentas de cuidados pessoais com estojo portátil de viagem, ferramentas de manicure e pedicure para mulheres e homens, kit",walentin profwr,1.0,singleton,
1587,prod_8840675b649f,amazon_br,"Kit de Manicure e pedicure, cortador de unhas, ferramentas de unha com estojo de viagem luxuoso, conjunto de 12 unidades.",genérico,,B0FV9YRLXY,,"Kit de Manicure e pedicure, cortador de unhas, ferramentas de unha com estojo de viagem luxuoso, conjunto de 12 unidades.",genérico,1.0,singleton,
1588,prod_1784f0e37c1f,amazon_br,Kit Alicate de Cutícula Tesoura e Cortador de Unha Manicure Pedicure 3 Peças,sq,1290,B0B5NNTXJL,,Kit Alicate de Cutícula Tesoura e Cortador de Unha Manicure Pedicure 3 Peças,sq,1.0,singleton,
1589,prod_cdd8b8ab7d8c,amazon_br,"Conjunto de cortador de unhas 16 em 1, conjunto de manicure de aço inoxidável, kits de cuidados profissionais de aço inoxidável (verde)",generic,4083,B0DWXJQ7KW,,"Conjunto de cortador de unhas 16 em 1, conjunto de manicure de aço inoxidável, kits de cuidados profissionais de aço inoxidável (verde)",generic,1.0,singleton,
18041,prod_edd65c752476,sephora,Pó bronzeador poudre compacte bronzante tenue et confort spf 8,Lancôme,,,,Pó bronzeador poudre compacte bronzante tenue et confort spf 8,Lancôme,1.0,singleton,
1590,prod_e66d35a623d6,amazon_br,"Conjunto de 13 brocas de unhas, 3 brocas de carboneto de tungstênio + 3 peças de broca de cerâmica Efile + 6 brocas de diamante + 1 escova, brocas de 0,2 cm para unhas para manicure, pedicure, salão doméstico",depvko,12525,B094G7HPMJ,,"Conjunto de 13 brocas de unhas, 3 brocas de carboneto de tungstênio + 3 peças de broca de cerâmica Efile + 6 brocas de diamante + 1 escova, brocas de 0,2 cm para unhas para manicure, pedicure, salão doméstico",depvko,1.0,singleton,
1591,prod_b2a3625de074,amazon_br,"Kit cortador de unhas de aço inoxidável 3 unidades, conjunto de ferramentas para manicure e pedicure, kit profissional de viagem e aliciamento",genérico,13446,B0CSYZV4ZZ,,"Kit cortador de unhas de aço inoxidável 3 unidades, conjunto de ferramentas para manicure e pedicure, kit profissional de viagem e aliciamento",genérico,1.0,singleton,
1592,prod_348e495881ef,amazon_br,"Conjunto de 10 pincéis de broca de unha, ferramentas de pedicure para pés, unhas de gel acrílico, suprimentos de cuidados com as unhas para salão de beleza, prata",generic,2448,B0FQV349ZT,,"Conjunto de 10 pincéis de broca de unha, ferramentas de pedicure para pés, unhas de gel acrílico, suprimentos de cuidados com as unhas para salão de beleza, prata",generic,1.0,singleton,
1593,prod_d60af283b622,amazon_br,"Conjunto de 7 cortadores de unha, conjunto de manicure de aço inoxidável para casa, viagens ao ar livre, presentear, salão de beleza (rosa)",generic,1220,B0FDPWHGRW,,"Conjunto de 7 cortadores de unha, conjunto de manicure de aço inoxidável para casa, viagens ao ar livre, presentear, salão de beleza (rosa)",generic,1.0,singleton,
1620,prod_0c16bf9fb72d,amazon_br,Toalhas Pano Descartavel Pedicure Manicure Kit 100 Uni 30x45 Wiper Podologia,"generico, generico",4150,B0FXH86K9L,,Toalhas Pano Descartavel Pedicure Manicure Kit 100 Uni 30x45 Wiper Podologia,"generico, generico",1.0,singleton,
1594,prod_8b583aa0ac7f,amazon_br,"Kit Manicure Profissional com Cabine LED UV 48W, Lixadeira Elétrica e Motor Caneta para Unhas em Gel",genérico,6998,B0FQQP354N,,"Kit Manicure Profissional com Cabine LED UV 48W, Lixadeira Elétrica e Motor Caneta para Unhas em Gel",genérico,1.0,singleton,
