threshold,precision,recall,f1,tp,fp,fn
0.05,0.8237623762376237,0.9987995198079231,0.9028757460661964,1664,356,2
0.060000000000000005,0.8303393213572854,0.9987995198079231,0.9068119891008174,1664,340,2
0.07,0.8336673346693386,0.9987995198079231,0.908793009284544,1664,332,2
0.08,0.8387096774193549,0.9987995198079231,0.9117808219178083,1664,320,2
0.09,0.8429584599797366,0.9987995198079231,0.9142857142857144,1664,310,2
0.1,0.8455284552845529,0.9987995198079231,0.9157952669235003,1664,304,2
0.11,0.849846782431052,0.9987995198079231,0.9183222958057395,1664,294,2
0.12000000000000001,0.8533333333333334,0.9987995198079231,0.920353982300885,1664,286,2
0.13,0.8550873586844809,0.9987995198079231,0.9213732004429679,1664,282,2
0.14,0.859504132231405,0.9987995198079231,0.9239311493614658,1664,272,2
0.15000000000000002,0.8630705394190872,0.9987995198079231,0.9259877573734001,1664,264,2
0.16,0.8653146125845034,0.9987995198079231,0.9272777932571746,1664,259,2
0.16999999999999998,0.8702250130821559,0.9981992797118847,0.9298294660329884,1663,248,3
0.18,0.8720503408495018,0.9981992797118847,0.9308704170165127,1663,244,3
0.19,0.8743427970557308,0.9981992797118847,0.9321748878923767,1663,239,3
0.2,0.8761854583772392,0.9981992797118847,0.9332210998877666,1663,235,3
0.21000000000000002,0.8794288736118456,0.9981992797118847,0.9350576328366602,1663,228,3
0.22000000000000003,0.8836344314558979,0.9981992797118847,0.9374295377677564,1663,219,3
0.22999999999999998,0.8859882791688866,0.9981992797118847,0.9387524696584816,1663,214,3
0.24,0.8869333333333334,0.9981992797118847,0.9392826885060717,1663,212,3
0.25,0.8878804057661506,0.9981992797118847,0.9398135066402938,1663,210,3
0.26,0.8893048128342246,0.9981992797118847,0.9406108597285068,1663,207,3
0.27,0.8902569593147751,0.9981992797118847,0.941143180531975,1663,205,3
0.28,0.8921095008051529,0.9975990396158463,0.9419098894871069,1662,201,4
0.29,0.8945102260495156,0.9975990396158463,0.9432463110102156,1662,196,4
0.3,0.8964401294498382,0.9975990396158463,0.9443181818181818,1662,192,4
0.31,0.8988642509464575,0.9975990396158463,0.9456614509246087,1662,187,4
0.32,0.9017905588714054,0.9975990396158463,0.9472784269022514,1662,181,4
0.33,0.9027702335687127,0.9975990396158463,0.9478186484174509,1662,179,4
0.33999999999999997,0.9042437431991295,0.9975990396158463,0.9486301369863014,1662,176,4
0.35,0.9057220708446867,0.9975990396158463,0.9494430162810625,1662,173,4
0.36,0.9067103109656302,0.9975990396158463,0.9499857102029151,1662,171,4
0.37,0.9086932750136687,0.9975990396158463,0.9510729613733906,1662,167,4
0.38,0.9091903719912473,0.9975990396158463,0.951345163136806,1662,166,4
0.39,0.9101861993428259,0.9975990396158463,0.9518900343642612,1662,164,4
0.4,0.9101861993428259,0.9975990396158463,0.9518900343642612,1662,164,4
0.41,0.9121844127332601,0.9975990396158463,0.9529816513761468,1662,160,4
0.42,0.9126853377265239,0.9975990396158463,0.9532549469457988,1662,159,4
0.43,0.914694551458448,0.9975990396158463,0.9543496985357449,1662,155,4
0.44,0.9172185430463576,0.9975990396158463,0.9557216791259344,1662,150,4
0.45,0.918232044198895,0.9975990396158463,0.956271576524741,1662,148,4
0.46,0.9187396351575456,0.9975990396158463,0.956546762589928,1662,147,4
0.47,0.9223085460599334,0.9975990396158463,0.9584775086505191,1662,140,4
0.48,0.9232907170650362,0.996998799519808,0.9587301587301588,1661,138,5
0.49,0.924791086350975,0.9963985594237695,0.9592603293845711,1660,135,6
0.5,0.9263392857142857,0.9963985594237695,0.9600925390399075,1660,132,6
0.51,0.9278523489932886,0.9957983193277311,0.9606253618992472,1659,129,7
0.52,0.9288913773796192,0.9957983193277311,0.9611819235225956,1659,127,7
0.53,0.9294117647058824,0.9957983193277311,0.9614604462474645,1659,126,7
0.54,0.93149915777653,0.9957983193277311,0.9625761531766753,1659,122,7
0.55,0.9330708661417323,0.9957983193277311,0.9634146341463414,1659,119,7
0.56,0.9335959482273495,0.9957983193277311,0.9636944525123439,1659,118,7
0.5700000000000001,0.9357021996615905,0.9957983193277311,0.964815353300378,1659,114,7
0.5800000000000001,0.9394110985277463,0.9957983193277311,0.9667832167832168,1659,107,7
0.5900000000000001,0.9409761634506243,0.9951980792316927,0.9673278879813303,1658,104,8
0.6000000000000001,0.9414772727272728,0.9945978391356542,0.9673088149445418,1657,103,9
0.6100000000000001,0.9425483503981797,0.9945978391356542,0.967873831775701,1657,101,9
0.6200000000000001,0.9430848036425725,0.9945978391356542,0.9681565877884896,1657,100,9
0.63,0.9457762557077626,0.9945978391356542,0.9695728496196605,1657,95,9
0.64,0.9468571428571428,0.9945978391356542,0.9701405152224823,1657,93,9
0.65,0.9473985134362493,0.9945978391356542,0.9704245973645681,1657,92,9
0.66,0.9473684210526315,0.9939975990396158,0.9701230228471002,1656,92,10
0.67,0.948938611589214,0.992797118847539,0.9703725432678205,1654,89,12
0.68,0.9494833524684271,0.992797118847539,0.9706572769953051,1654,88,12
